,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
1478,2024-06-25,66000,67000,63000,63700,2268600,CMG,-4.07,-2700.0,2024,2,6
1479,2024-06-26,64900,65300,62900,64800,1164700,CMG,1.73,1100.0,2024,2,6
1480,2024-06-27,64900,64900,63400,63400,1184800,CMG,-2.16,-1400.0,2024,2,6
1481,2024-06-28,63400,63800,60700,61000,1961300,CMG,-3.79,-2400.0,2024,2,6
1482,2024-07-01,61100,62800,61000,62300,1149200,CMG,2.13,1300.0,2024,3,7
1483,2024-07-02,62400,63600,62300,63200,1102500,CMG,1.44,900.0,2024,3,7
1484,2024-07-03,63300,63300,62400,62800,988200,CMG,-0.63,-400.0,2024,3,7
1485,2024-07-04,63000,64400,62800,64400,1432300,CMG,2.55,1600.0,2024,3,7
1486,2024-07-05,65000,66100,63900,64200,1413800,CMG,-0.31,-200.0,2024,3,7
1487,2024-07-08,64800,65400,63500,63800,1000300,CMG,-0.62,-400.0,2024,3,7
1488,2024-07-09,64000,64500,62700,64500,1725200,CMG,1.1,700.0,2024,3,7
1489,2024-07-10,65000,67500,65000,66200,2531800,CMG,2.64,1700.0,2024,3,7
1490,2024-07-11,67500,67500,64900,65200,1076000,CMG,-1.51,-1000.0,2024,3,7
1491,2024-07-12,64599,65500,63000,63800,1454500,CMG,-2.15,-1400.0,2024,3,7
1492,2024-07-15,63800,64500,61500,62100,1588300,CMG,-2.66,-1700.0,2024,3,7
1493,2024-07-16,62100,62400,60000,60000,1902900,CMG,-3.38,-2100.0,2024,3,7
1494,2024-07-17,59700,60500,55800,56200,2226100,CMG,-6.33,-3800.0,2024,3,7
1495,2024-07-18,56200,57500,56100,57200,1352300,CMG,1.78,1000.0,2024,3,7
1496,2024-07-19,57900,57900,55700,56000,1040900,CMG,-2.1,-1200.0,2024,3,7
1497,2024-07-22,55000,55900,53700,54100,1273300,CMG,-3.39,-1900.0,2024,3,7
1498,2024-07-23,54300,56000,54100,54100,1058300,CMG,0.0,0.0,2024,3,7
1499,2024-07-24,53100,54800,52400,54500,809900,CMG,0.74,400.0,2024,3,7
1500,2024-07-25,52600,54400,52600,53400,730200,CMG,-2.02,-1100.0,2024,3,7
1501,2024-07-26,54000,56500,53900,56500,1103700,CMG,5.81,3100.0,2024,3,7
1502,2024-07-29,57600,57600,55900,56600,878000,CMG,0.18,100.0,2024,3,7
1503,2024-07-30,56600,56800,54300,55400,940800,CMG,-2.12,-1200.0,2024,3,7
1504,2024-07-31,54500,55600,54200,55000,647300,CMG,-0.72,-400.0,2024,3,7
1505,2024-08-01,55800,55800,51200,51200,1318900,CMG,-6.91,-3800.0,2024,3,8
1506,2024-08-02,50100,52500,50100,52300,824600,CMG,2.15,1100.0,2024,3,8
1507,2024-08-05,51100,52000,48650,48650,1537900,CMG,-6.98,-3650.0,2024,3,8
